,sym_1,sym_2,min_trading_qty_symbol_1,min_trading_qty_symbol_2,estimated_trade_qty_symbol_1,estimated_trade_qty_symbol_2,estimated_trade_value_symbol_1,estimated_trade_value_symbol_2,std,each_z_score_revenue,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_returns,win_rate,recent_trade_qty,peak_loss,recent_z_score
10,EOSUSDT,COMPUSDT,0.1,0.001,132.68621462195986,0.2531441771989779,100.57615068344558,18.223849316554418,0.01031598713822742,1.3687892834602209,0.011529936200610495,0.001907840825214724,0.6243342211471588,18,69.49287543030835,1.0,132.68056019245816,-11.588946438563838,-1.1114545021305084
19,EOSUSDT,LDOUSDT,0.1,1.0,136.3142624201582,7.635344461423112,103.32621091447992,15.47378908552008,0.00816616668195263,1.1131649880504435,0.004826433008490006,0.056012806920297684,0.6451394440705888,15,68.42040943369932,0.9333333333333333,136.3186430590314,-12.242204493131098,-0.9794086694638408
34,MASKUSDT,GMTUSDT,1.0,1.0,28.30890392769299,65.15493473983048,103.46904385571789,15.324440650808128,0.05577455239693095,1.5789164454147973,0.0125225900326709,2.3015703789256605,3.1197440607217857,11,61.04322515106432,0.8181818181818182,28.31565127661252,-16.4600901297884,-0.9344009299177226
13,EOSUSDT,SOLUSDT,0.1,1.0,123.54497584695413,0.9561298630786011,93.52354671614428,25.152908308008758,0.007317214486803341,0.9040050870391017,0.009154460683522221,0.00773912380106045,0.5577289244829082,17,53.35877090941725,0.9411764705882353,123.53702181087675,-10.960921077830518,-1.1465556388248066
12,EOSUSDT,SNXUSDT,0.1,0.1,123.89194227374033,8.921113891220369,93.91009224349517,24.88990775650483,0.009157420866974356,1.134530657427532,0.026293065396462725,0.07200721634913988,0.5725256891968549,15,46.93891172858313,0.9333333333333333,123.85473950481473,-9.973181815887456,-1.1780605623102882
8,EOSUSDT,ADAUSDT,0.1,1.0,111.85614573521264,107.7726284306363,84.78695846729117,34.01304153270882,0.007624179027970374,0.852811280464006,0.01034345355050609,0.9634931341703576,0.4616736674870233,14,45.51547476388063,0.8571428571428571,111.85614573521264,-8.798712779110698,-1.0102872528610334
9,EOSUSDT,BNBUSDT,0.1,0.01,91.89152548249328,0.2033777102597563,69.6537763157299,49.1482574613727,0.006903577051587729,0.6343802265563296,0.0016525131732288965,0.0022132368484676294,0.22474273451992458,14,40.462546947757524,0.9285714285714286,91.88208772056676,-7.226328535567387,-0.9180988168464407
11,EOSUSDT,DOGEUSDT,0.1,1.0,103.4217416752705,584.9206689366672,78.39368018985503,40.40631981014497,0.0069896041891496265,0.7228770388626212,0.014854873659594956,5.655683799768472,0.3697817289734335,13,40.34886506564123,1.0,103.41664987930865,-7.04556776748567,-1.2284054653250405
15,EOSUSDT,FTMUSDT,0.1,1.0,112.98216738837121,129.01318063979443,85.52750071299701,33.27249928700299,0.008091048227587081,0.9141441651966278,0.0032732172339817534,1.1418897656328129,0.46342963379927327,14,39.290547589095766,0.8571428571428571,112.88706777876652,-10.346801675480716,-0.8814087036599674
18,EOSUSDT,INJUSDT,0.1,0.1,105.67225422779686,4.265920557245368,80.09956870467002,38.70043129532997,0.008665941035720605,0.915749524249765,0.043420574933312917,0.04036935322728477,0.3991751884774932,15,38.68204573894635,0.8,105.65707831189148,-11.461327161168672,-1.105852817304865
14,EOSUSDT,AVAXUSDT,0.1,1.0,113.55796206631372,2.352699198667372,85.96337728419948,32.836622715800516,0.007010025560119715,0.7960442166399642,0.008012228753375768,0.020718047029529126,0.46900122469369065,13,37.512193431440146,0.7692307692307693,113.44951849629818,-9.952833494787278,-1.0968762880239908
6,EOSUSDT,LTCUSDT,0.1,0.001,94.1180368379778,0.5110761154082796,71.34147192318717,47.45852807681284,0.007170123359533473,0.6748379344854165,0.012677439370560626,0.005430161237724138,0.26143496151832524,14,33.498184916016115,0.9285714285714286,94.10589156689217,-8.775434617808946,-1.0551143353394568
