,sym_1,sym_2,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_return,current_z_score,total_score
65,MKRUSDT,MTLUSDT,0.004136883211075767,-273.723163770534,1346.0613907913332,7,120.9739534953128,0.19583984861971207,120.9739534953128
63,MKRUSDT,OCEANUSDT,0.042666282292386885,-771.2473419396191,1240.0296177689102,7,117.36139610375994,0.9500292926114718,117.36139610375994
66,MKRUSDT,FLOWUSDT,0.0014704790115750129,1304.599606021378,161.78524892866434,5,99.49595828216164,0.5400424294268317,99.49595828216164
78,STORJUSDT,GMTUSDT,0.0013428129233763113,6.579813866717402,-1.06343374152081,6,77.14371785143709,-0.2789887853005111,77.14371785143709
62,MKRUSDT,STORJUSDT,0.003397556159758093,299.8680084121918,852.4819838296532,4,74.09623311081603,0.5714174762830927,74.09623311081603
64,MKRUSDT,GRTUSDT,0.0027926885740293464,4415.495816972354,441.84611395014053,3,70.55170989755298,0.5493435478386789,70.55170989755298
75,STORJUSDT,GRTUSDT,0.0443981433647436,11.942710149864237,-1.0390283511423952,7,69.38276254634769,-0.4403226512225019,69.38276254634769
67,MKRUSDT,APTUSDT,0.002473331295100071,65.35413477136105,489.6741819451065,3,64.8534050411313,0.5839444854173784,64.8534050411313
72,YFIUSDT,LINAUSDT,0.020162037819426954,317050.2465617839,2791.9472761298566,8,57.124946407421895,-1.4482763653177957,57.124946407421895
83,AAVEUSDT,OPUSDT,0.0035143035873878106,65.27022219757681,-5.924265782813918,9,52.48865627103199,-1.5121339751397826,52.48865627103199
30,EOSUSDT,GALAUSDT,0.007899331296898586,23.802113260565715,0.15119117296677007,8,51.63597054768559,-0.03283659100049379,51.63597054768559
91,NKNUSDT,1000XECUSDT,0.008017269899650781,-1.4506450692061272,0.1487246394081284,7,51.10851034956299,0.11294684934158129,51.10851034956299
77,STORJUSDT,CELOUSDT,0.022378485004722764,2.336056666404131,-0.8108698277219758,5,50.68624698357748,-1.2436124194447133,50.68624698357748
79,STORJUSDT,APTUSDT,0.022136279200888627,0.1974583585610091,-1.0605396218088652,11,49.57983603271032,-0.17817158650179019,49.57983603271032
71,YFIUSDT,AVAXUSDT,0.030245722994379096,165.02278967023832,4803.654691015895,7,45.41534457090982,-0.5941024463274625,45.41534457090982
85,AXSUSDT,CELOUSDT,0.03236762311366341,5.678942171366182,3.044817012946742,7,42.160508214963116,-1.478517264921556,42.160508214963116
36,LTCUSDT,LDOUSDT,0.0019372100452436298,38.19170821320683,23.144896769582488,11,39.60460579818074,-1.537725167750139,39.60460579818074
35,LTCUSDT,FTMUSDT,0.041337604097936034,181.47280274272975,47.905765593760634,7,35.639219812158885,-0.8876940091637252,35.639219812158885
41,ETCUSDT,OCEANUSDT,0.022685564842639047,-4.967008332529281,20.86649336001176,5,35.29445355551038,-1.0413653072499554,35.29445355551038
90,XEMUSDT,APTUSDT,0.03307659148868357,0.0038853477218579744,-0.0001698663164878678,7,33.53468534318728,1.3231000188364115,33.53468534318728
42,ETCUSDT,BELUSDT,0.008399824618595089,-4.492332201119824,22.290057598632647,5,32.22953930085925,-1.4139399767479826,32.22953930085925
48,LINKUSDT,CELOUSDT,0.02749581093220527,6.354231899834233,3.004959505773809,6,31.206162661160587,-0.7640995261909036,31.206162661160587
25,XRPUSDT,DYDXUSDT,0.04269599097627647,0.1621357363512583,0.16868790028076347,12,30.97332882842752,1.0426766523459514,30.97332882842752
56,ATOMUSDT,1000XECUSDT,0.040669730211794965,-41.224955113475005,10.797761708645341,4,30.912960508760225,0.3096177541157191,30.912960508760225
97,CELOUSDT,GMTUSDT,0.004854685317533871,2.5021161783017316,-0.03916134249741321,5,30.370092059819576,1.1102697886149993,30.370092059819576
39,ETCUSDT,STORJUSDT,0.045306203375434236,4.133335571394096,17.535743520255906,7,30.19368124766303,-1.1197181761565655,30.19368124766303
76,STORJUSDT,SANDUSDT,0.022952469809262674,4.608273462891155,-1.565242464467609,5,30.045295761434282,-0.2111153281389951,30.045295761434282
40,ETCUSDT,TOMOUSDT,0.01793906246169598,-1.9132156472710502,21.081901392447417,4,29.35510730153562,-0.46558885139706796,29.35510730153562
81,AAVEUSDT,SANDUSDT,0.04251912465587002,195.60425201656273,-8.382607830101705,4,26.841552686474976,-0.1951106788518492,26.841552686474976
82,AAVEUSDT,DYDXUSDT,0.00034598457313867766,46.25201337680511,-12.516583189057176,11,26.572607767453608,0.1711726012458142,26.572607767453608
93,DYDXUSDT,GMTUSDT,0.03746089198585609,5.691388943174585,0.6259800593521067,7,25.412351222115618,-0.631226091366088,25.412351222115618
37,LTCUSDT,APTUSDT,0.03015294364609451,14.06675967797692,-3.112387156602876,7,25.307127943713187,-0.6989767453877992,25.307127943713187
68,DOTUSDT,AAVEUSDT,0.005956334042172188,0.03892546473960436,2.2790175368895373,11,24.82962733194854,0.17125196052224337,24.82962733194854
44,LINKUSDT,DOGEUSDT,1.1077499299915407e-05,104.18448724179063,-0.660322379169923,11,24.780529475604673,-0.6651040737357414,24.780529475604673
47,LINKUSDT,1000XECUSDT,0.03521140039800823,-27.963457547623236,7.209523198524691,3,22.957138638227107,-1.078126645025215,22.957138638227107
55,BNBUSDT,LDOUSDT,0.013225247617487718,34.79747912745405,167.59148697988257,9,22.50455623888165,-0.5234542148632516,22.50455623888165
18,ETHUSDT,LTCUSDT,0.025353507016997723,8.705584859926025,1019.0403181126484,6,22.286694061841498,1.5343558832590753,22.286694061841498
29,EOSUSDT,MATICUSDT,0.03429443242731316,1.002431333857155,0.04657758379040958,6,21.769323728245997,-1.8544625327183388,21.769323728245997
92,NKNUSDT,INJUSDT,0.036540728721889924,0.015962473751446948,-0.03193889701856694,5,21.08182991963817,0.5771541681385336,21.08182991963817
12,BTCUSDT,ARPAUSDT,0.014337105093681931,117898.51578727849,24474.38319355933,5,19.34237534710585,-0.8131852942763053,19.34237534710585
