,interval,trainning_period,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
0,1h,200,20,0.8,63.4908722747943,0.6666666666666666,,5
1,1h,200,20,1.2,61.04106013372192,0.611111111111111,,3
2,1h,200,20,1.6,42.40259346474069,0.75,,4
3,1h,200,20,2.0,36.06634250697326,0.9523809523809524,,7
4,1h,200,40,0.8,35.97942840629284,0.7777777777777778,,8
5,1h,200,40,1.2,44.54764895717532,0.9444444444444444,,9
6,1h,200,40,1.6,21.65959175757402,0.95,,10
7,1h,200,40,2.0,9.489031167992831,0.7,,7
8,1h,200,60,0.8,16.681389190826607,0.5555555555555556,,5
9,1h,200,60,1.2,13.62897104509959,0.7,,7
10,1h,200,60,1.6,9.829169750577814,0.6,,6
11,1h,200,60,2.0,3.856101867487363,0.2222222222222222,,2
12,1h,200,80,0.8,8.323211328355939,0.42857142857142855,,3
13,1h,200,80,1.2,-2.04992338021123,0.125,-25.433741448394784,1
14,1h,200,80,1.6,0.0,0.0,,0
15,1h,200,80,2.0,0.0,0.0,,0
16,1h,200,120,0.8,4.555903652501472,0.14285714285714285,,1
17,1h,200,120,1.2,1.573578843576837,0.2,,1
18,1h,200,120,1.6,0.0,0.0,,0
19,1h,200,120,2.0,0.0,0.0,,0
20,1h,200,160,0.8,0.0,0.0,,0
21,1h,200,160,1.2,0.0,0.0,,0
22,1h,200,160,1.6,0.0,0.0,,0
23,1h,200,160,2.0,0.0,0.0,,0
24,1h,200,200,0.8,34.59071583325133,0.3333333333333333,,3
25,1h,200,200,1.2,17.84683684727107,0.5,,2
26,1h,200,200,1.6,0.0,0.0,,0
27,1h,200,200,2.0,0.0,0.0,,0
