,sym_1,sym_2,expected_return,backtest_trading_oppotunities,backtest_returns,backtest_win_rate,backtest_peak_loss,recent_z_score
0,LINKUSDT,XLMUSDT,1.7942506683002684,0,0.0,0.0,-10.263701609952857,0.38588320582759555
1,LTCUSDT,ETCUSDT,-0.06717122203734233,0,0.0,0.0,0.0,-0.19133296898951616
2,NEARUSDT,EOSUSDT,4.440513416369434,1,9.298973317939247,1.0,-0.8830574092488913,0.09065406014982971
3,APTUSDT,AXSUSDT,4.838399432401725,1,6.090190152998711,1.0,-1.0579945109700901,0.4663426207624325
4,APTUSDT,EOSUSDT,-8.984489781561464,0,0.0,0.0,-1.5540987769056092,-1.3800510402227522
5,UNFIUSDT,BNBUSDT,2.378104264638656,0,0.0,0.0,-20.12474673782635,0.19220882633440622
6,UNFIUSDT,UNIUSDT,10.19078330578931,0,0.0,0.0,-14.969221054096689,0.43702102820963773
7,LINAUSDT,MTLUSDT,1509.5078241339968,1,7.453947059412609,1.0,-1.5244509025825583,0.3069806321000879
8,BNBUSDT,IMXUSDT,-1.2560710876774925,1,-22.318271257423277,0.0,-22.030271257423276,-1.9008352417222747
9,BNBUSDT,ARPAUSDT,-0.02763284210279453,1,-27.05976273512288,0.0,-31.83846543175401,-0.11361764223808135
10,IMXUSDT,ARPAUSDT,184.41903757708408,0,0.0,0.0,-21.206821844376254,1.1814406178025552
11,XLMUSDT,SOLUSDT,-120.37299240154414,0,0.0,0.0,-3.135887693649636,-0.3036177693502823
12,AXSUSDT,EOSUSDT,1.3643195454085844,0,0.0,0.0,0.0,0.21283142449415324
13,XRPUSDT,INJUSDT,-19.860675952172915,0,0.0,0.0,-0.17735481180962254,-0.34576108666633587
14,DOTUSDT,INJUSDT,5.439828802653004,1,5.91070773743839,1.0,-0.1443018307167809,0.36327234125689
15,OGNUSDT,TOMOUSDT,82.24609858242937,1,30.06520252755912,1.0,-2.113709323022966,0.24284055068189495
16,LDOUSDT,FILUSDT,-53.109234572886,0,0.0,0.0,0.0,-3.2579090898521486
17,LDOUSDT,MATICUSDT,-20.794473150039718,2,0.7684672205343591,0.5,-5.098254828364929,-0.7218027807203065
18,FILUSDT,APEUSDT,34.8134760761259,0,0.0,0.0,-5.588475879438564,1.606656307064708
19,ETCUSDT,ADAUSDT,-1.6679841278499787,0,0.0,0.0,-3.791523816112376,-0.6910922474008723
20,INJUSDT,EOSUSDT,-5.500931821233713,0,0.0,0.0,-9.582392043652876,-1.4304347702523574
