,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
0,30m,200,20,20,1.2,,,,0
1,30m,200,20,20,1.6,,,,0
2,30m,200,20,40,1.2,,,,0
3,30m,200,20,40,1.6,,,,0
4,30m,200,20,80,1.2,0.0,0.0,,0
5,30m,200,20,80,1.6,,,,0
6,30m,200,20,120,1.2,0.9235095835495523,0.7222222222222222,-15.324349461241413,2
7,30m,200,20,120,1.6,-26.19109724634185,0.5,-26.19109724634185,0
8,30m,200,40,20,1.2,,,,0
9,30m,200,40,20,1.6,,,,0
10,30m,200,40,40,1.2,,,,0
11,30m,200,40,40,1.6,,,,0
12,30m,200,40,80,1.2,-9.556197995707615,0.0,-19.11239599141523,0
13,30m,200,40,80,1.6,0.6706181978299118,0.5,,1
14,30m,200,40,120,1.2,,,,0
15,30m,200,40,120,1.6,6.8751896607217695,1.0,,1
16,30m,200,80,20,1.2,,,,0
17,30m,200,80,20,1.6,,,,0
18,30m,200,80,40,1.2,-55.411370919190894,0.0,-55.411370919190894,0
19,30m,200,80,40,1.6,-7.627696017481381,0.0,-15.255392034962762,0
20,30m,200,80,80,1.2,4.3141585477356665,0.6666666666666666,,2
21,30m,200,80,80,1.6,5.418608088959766,0.5,,1
22,30m,200,80,120,1.2,,,,0
23,30m,200,80,120,1.6,8.62202051914903,1.0,,1
24,30m,200,120,20,1.2,,,,0
25,30m,200,120,20,1.6,,,,0
26,30m,200,120,40,1.2,-525.3923424490589,0.0,-525.3923424490589,0
27,30m,200,120,40,1.6,-208.89448478533393,0.0,-313.3417271780009,0
28,30m,200,120,80,1.2,0.1958129501434376,0.5,,1
29,30m,200,120,80,1.6,0.08209269864520903,0.5,,1
30,30m,200,120,120,1.2,,,,0
31,30m,200,120,120,1.6,0.0,0.0,,0
32,30m,400,20,20,1.2,,,,0
33,30m,400,20,20,1.6,,,,0
34,30m,400,20,40,1.2,,,,0
35,30m,400,20,40,1.6,-5.962629518607513,0.0,-11.925259037215026,0
36,30m,400,20,80,1.2,9.773979471248648,1.0,,1
37,30m,400,20,80,1.6,-1.6408747707233822,0.5,-1.6408747707233822,0
38,30m,400,20,120,1.2,-15.324349461241413,0.5,-15.324349461241413,0
39,30m,400,20,120,1.6,,,,0
40,30m,400,40,20,1.2,,,,0
41,30m,400,40,20,1.6,,,,0
42,30m,400,40,40,1.2,,,,0
43,30m,400,40,40,1.6,,,,0
44,30m,400,40,80,1.2,5.529232594001872,1.0,,1
45,30m,400,40,80,1.6,,,,0
46,30m,400,40,120,1.2,,,,0
47,30m,400,40,120,1.6,,,,0
48,30m,400,80,20,1.2,7.690070359404018,1.0,,1
49,30m,400,80,20,1.6,,,,0
50,30m,400,80,40,1.2,0.0,0.0,,0
51,30m,400,80,40,1.6,,,,0
52,30m,400,80,80,1.2,,,,0
53,30m,400,80,80,1.6,,,,0
54,30m,400,80,120,1.2,,,,0
55,30m,400,80,120,1.6,,,,0
56,30m,400,120,20,1.2,,,,0
57,30m,400,120,20,1.6,,,,0
58,30m,400,120,40,1.2,0.0,0.0,,0
59,30m,400,120,40,1.6,0.0,0.0,,0
60,30m,400,120,80,1.2,2.028000883743452,0.5,,1
61,30m,400,120,80,1.6,,,,0
62,30m,400,120,120,1.2,,,,0
63,30m,400,120,120,1.6,,,,0
