,sym_1,sym_2,min_trading_qty_symbol_1,min_trading_qty_symbol_2,estimated_trade_qty_symbol_1,estimated_trade_qty_symbol_2,estimated_trade_value_symbol_1,estimated_trade_value_symbol_2,std,each_z_score_revenue,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_returns,win_rate,recent_trade_qty,peak_loss,recent_z_score
0,OGNUSDT,SNXUSDT,1.0,0.1,1888.3051410897808,29.646228902679983,176.93419172011247,76.19080827988755,0.0006558559819242839,1.2384562224821116,0.016169693842792633,0.015699914308113634,0.05360546215022885,9,14.831957469364875,0.8888888888888888,1888.084006983475,-11.272056174152894,-1.1822518398446658
2,OGNUSDT,OPUSDT,1.0,0.1,2314.1033299793767,22.79314072783545,216.8314820190676,36.293517980932386,0.0003949161261570526,0.9138767226025911,0.00023310598626940357,0.009849664201485153,0.07871722132009731,9,7.291901348011203,0.4444444444444444,2314.1241679676523,-6.285977199288471,-1.922845325185557
5,GTCUSDT,API3USDT,0.1,0.1,133.8576840061513,83.05769371887249,151.6607559789694,101.33038633702444,0.014026778200941094,1.8775920440459442,0.0015283398155359227,0.6204925353038057,0.42195442514827763,9,31.272699682549614,0.6666666666666666,133.9186929434852,-5.189476689607577,-2.194390023623707
6,GTCUSDT,LPTUSDT,0.1,0.1,159.90149153730908,12.45786185738033,181.1683899117712,71.95661008822879,0.011795792254331623,1.886164775331864,0.0019863309246148006,0.07790960382926505,0.718857518824944,9,26.0966474158674,0.7777777777777778,159.78611948701928,-8.915822420929423,-2.1210457634387083
7,GTCUSDT,DUSKUSDT,0.1,1.0,169.979611372843,498.7485608384317,192.75687929680396,60.53810031456884,0.0245826231995273,4.178544737980685,0.010107732233726975,2.93416696749852,0.7491454239003166,7,22.95311379241994,0.5714285714285714,169.76498866925292,-36.57528217682366,0.21459916712768165
10,ETHUSDT,BTCUSDT,0.001,0.001,0.09521656444437064,0.002624677381416498,175.9544980993303,77.17050190066973,2.0710351984374773,0.197196856438582,0.0227644670023308,0.02756534429416365,1038.1986904089385,7,0.9674971657240162,0.8571428571428571,0.0952244448504457,-0.577961273393926,-0.4259566702235141
11,ETHUSDT,GALAUSDT,0.001,1.0,0.11952378952846517,1422.055043155559,220.87159638333665,32.252208378768074,2.9362445305953537,0.35095107327898606,0.02393718984632735,11897.673666185841,1577.1332148766066,7,5.0975962850110825,0.8571428571428571,0.11953620723712477,-0.7912281886729431,0.029590956031514716
29,SNXUSDT,GALAUSDT,0.1,1.0,77.91858656588562,2328.906658099165,200.25076747432604,52.79631393910807,0.014810621604093265,1.1540227015531168,0.000679808612066454,29.888974643166957,1.9056896351584018,8,3.1139099722423147,0.375,77.91141823321736,-14.904908059454828,-1.3597267854078372
35,BTCUSDT,EOSUSDT,0.001,0.1,0.004391563537281441,173.43251591167981,129.12075112314892,124.00424887685107,64.37090514322085,0.28268891988877104,0.009955795442746461,39492.202364682555,1153.9732015805967,7,0.7545849961075162,0.42857142857142855,0.004391571156388112,-1.9897841227463766,1.686715627808228
36,BTCUSDT,C98USDT,0.001,1.0,0.008138224252179504,90.07762223434123,239.2800694625818,13.835922775194812,88.34900521725515,0.7190040169149995,0.003149940801344507,11068.461551697532,27756.65719516028,5,0.7020687308627949,0.8,0.008138540038292699,-6.910506672983201,-1.4283594259082206
38,FILUSDT,C98USDT,0.1,1.0,59.10396400330936,57.22143756718154,244.3357871896809,8.789212810319084,0.01309123443853191,0.7737438490138738,0.029747158894113095,0.968148897153118,3.980531070702531,7,10.235770489761485,0.2857142857142857,59.11776783312453,-6.290774448088971,-0.5885496659923821
39,EOSUSDT,C98USDT,0.1,1.0,335.8325399395658,84.66623660944337,240.12026605678952,13.004733943210502,0.0019452347807223072,0.6532731371887567,0.020872358692998746,0.25210849617097664,0.6781875394184763,7,15.20813720316508,0.5714285714285714,335.8325399395658,-2.2033343109754613,-2.3568633745022254
40,SANDUSDT,C98USDT,1.0,1.0,601.4991268333146,72.93002075287023,241.92294881235912,11.202051187640867,0.0016797654926887103,1.0103774771369918,0.0255638833130223,0.12124709330306369,0.384818189711871,8,6.820625195074719,0.75,601.6420946138879,-5.0820210122126905,-1.194965597317838
