,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
0,15m,200,20,20,1.2,49.45933449770999,0.5416666666666666,-2.122785366011935,3
1,15m,200,20,20,1.6,57.91785250928796,0.5833333333333333,-5.4778015140300305,3
2,15m,200,20,40,1.2,6.55906165434911,0.5,-5.288743469034105,4
3,15m,200,20,40,1.6,2.2359423930646,0.25,-2.5155430000942287,1
4,15m,200,20,80,1.2,3.333380906042452,0.5,-4.626203366204077,2
5,15m,200,20,80,1.6,0.8121129303686949,0.2,-0.21932211856338607,1
6,15m,200,20,120,1.2,-2.210217316623175,0.21428571428571427,-5.5121159406012765,2
7,15m,200,20,120,1.6,1.9217857534286424,0.4,-7.692588280115926,2
8,15m,200,40,20,1.2,3.499541665137553,0.375,-6.142226563742864,1
9,15m,200,40,20,1.6,3.645156988256536,0.25,-5.94807279958422,1
10,15m,200,40,40,1.2,4.310193605237,0.75,-11.545355552416924,3
11,15m,200,40,40,1.6,6.371949396656834,0.25,,1
12,15m,200,40,80,1.2,-0.9537257327860437,0.25,-3.173746060462203,1
13,15m,200,40,80,1.6,-2.238552100190533,0.0,-3.3578281502857994,0
14,15m,200,40,120,1.2,-1.550454709561214,0.2,-4.30391589287569,1
15,15m,200,40,120,1.6,-2.782528452200309,0.0,-3.7100379362670783,0
16,15m,200,80,20,1.2,2.7670873479989466,0.7,-1.58500928777458,3
17,15m,200,80,20,1.6,1.2192094766525423,0.6666666666666666,-2.9048465189784314,3
18,15m,200,80,40,1.2,-1.0927148517225505,0.25,-8.616029476551347,1
19,15m,200,80,40,1.6,-1.1391237829992722,0.5,-5.020715553089202,2
20,15m,200,80,80,1.2,0.4590446572204573,0.5,-4.0382320809576635,2
21,15m,200,80,80,1.6,-0.8497794799177171,0.25,-3.6510030097046835,1
22,15m,200,80,120,1.2,0.0,0.0,,0
23,15m,200,80,120,1.6,,,,0
24,15m,200,120,20,1.2,1.3657916014742375,0.375,,2
25,15m,200,120,20,1.6,1.3148141299812222,0.375,,2
26,15m,200,120,40,1.2,0.18457060315165155,0.25,,1
27,15m,200,120,40,1.6,0.0,0.0,,0
28,15m,200,120,80,1.2,0.015551460889491164,0.3333333333333333,,1
29,15m,200,120,80,1.6,0.0,0.0,,0
30,15m,200,120,120,1.2,0.0,0.0,,0
31,15m,200,120,120,1.6,0.0,0.0,,0
32,15m,400,20,20,1.2,28.345325971481614,0.5,-8.27546720672106,2
33,15m,400,20,20,1.6,27.383991907289715,0.5555555555555555,-16.95043863763785,3
34,15m,400,20,40,1.2,-1.253818263768193,0.5625,-17.510624451076627,5
35,15m,400,20,40,1.6,-0.6405294302182456,0.5,-4.032090386060502,4
36,15m,400,20,80,1.2,-2.5631343667781574,0.0,-5.126268733556315,0
37,15m,400,20,80,1.6,2.740274282392724,0.16666666666666666,-0.40508981181018305,1
38,15m,400,20,120,1.2,-0.6576412118776828,0.3333333333333333,-2.2022914243281573,2
39,15m,400,20,120,1.6,0.07731613185379999,0.25,,1
40,15m,400,40,20,1.2,4.596763540176046,0.611111111111111,-8.916229227084624,4
41,15m,400,40,20,1.6,-0.627354504572529,0.42857142857142855,-6.2016493942214534,3
42,15m,400,40,40,1.2,3.3993414344314132,0.6,-8.633793644467376,3
43,15m,400,40,40,1.6,-1.6137346732175473,0.6666666666666666,-11.603393162207082,4
44,15m,400,40,80,1.2,-2.7368262121879985,0.2,-8.108360125360113,1
45,15m,400,40,80,1.6,-2.7037035729001104,0.0,-10.814814291600442,0
46,15m,400,40,120,1.2,-3.7486406448493383,0.0,-9.371601612123346,0
47,15m,400,40,120,1.6,-1.3938359291966949,0.0,-5.575343716786779,0
48,15m,400,80,20,1.2,2.123847249230714,0.5,-1.8936737560129344,3
49,15m,400,80,20,1.6,-2.046343804238083,0.35714285714285715,-6.08669281878168,2
50,15m,400,80,40,1.2,-3.5423168324109007,0.0,-10.626950497232702,0
51,15m,400,80,40,1.6,-2.8013728162113885,0.0,-8.404118448634165,0
52,15m,400,80,80,1.2,-0.6846597790310331,0.25,-4.1069142934590745,1
53,15m,400,80,80,1.6,0.0,0.0,,0
54,15m,400,80,120,1.2,-0.33826143823214816,0.25,-4.275839877084816,1
55,15m,400,80,120,1.6,-0.6157908708186697,0.25,-2.8368953318469137,1
56,15m,400,120,20,1.2,-7.1105650407416165,0.21428571428571427,-14.132515433857824,1
57,15m,400,120,20,1.6,-3.2621964001628476,0.14285714285714285,-10.075387477908954,1
58,15m,400,120,40,1.2,1.1211930320121897,0.5,,4
59,15m,400,120,40,1.6,-0.25936302773436387,0.2857142857142857,-5.945627121926952,2
60,15m,400,120,80,1.2,-1.5507353704485656,0.14285714285714285,-6.764421348934647,1
61,15m,400,120,80,1.6,-0.8323861544525585,0.16666666666666666,-3.834006015722343,1
62,15m,400,120,120,1.2,-1.2968180756903467,0.0,-3.2420451892258666,0
63,15m,400,120,120,1.6,-0.37182088870236,0.0,-1.8591044435118,0
64,30m,200,20,20,1.2,17.743031563301383,0.5333333333333333,-3.876321264705779,4
65,30m,200,20,20,1.6,1.26171459293687,0.5555555555555555,-5.474744933685422,4
66,30m,200,20,40,1.2,6.292591323546401,0.5833333333333334,-1.0737777109696491,3
67,30m,200,20,40,1.6,13.766157543893039,0.5833333333333334,-0.7919909407028469,4
68,30m,200,20,80,1.2,-2.4387372780399117,0.4166666666666667,-7.180894338065919,2
69,30m,200,20,80,1.6,-0.4036633997096248,0.5,-2.4492536755713075,2
70,30m,200,20,120,1.2,8.200013041699062,0.8,,4
71,30m,200,20,120,1.6,0.8731068449795429,0.5,,3
72,30m,200,40,20,1.2,-9.662350926245855,0.0,-9.662350926245855,0
73,30m,200,40,20,1.6,-8.088331860511351,0.1111111111111111,-8.088331860511351,0
74,30m,200,40,40,1.2,-86.23850160619594,0.26666666666666666,-147.95818761037646,1
75,30m,200,40,40,1.6,-76.25140129506269,0.4,-127.62442154117248,1
76,30m,200,40,80,1.2,-158.39405544321812,0.16666666666666666,-645.2594242004777,1
77,30m,200,40,80,1.6,-101.01330114422396,0.16666666666666666,-414.62010545969866,1
78,30m,200,40,120,1.2,7.79689171313106,0.25,-1.4271569846422945,1
79,30m,200,40,120,1.6,9.50005685710413,0.5,,1
80,30m,200,80,20,1.2,7.873835025926979,0.4444444444444444,-12.152066921227505,3
81,30m,200,80,20,1.6,8.473440253753267,0.3333333333333333,-6.430583144195349,2
