,sym_1,sym_2,hedge_ratio,initial_intercept,trading_oppotunities_first_499intervals,estimated_return_first_499intervals,estimated_return_next_100intervals,estimated_return_next_100-200intervals,estimated_return_next_200-300intervals,estimated_return_next_300-400intervals,estimated_return_next_400-500intervals,total_score
159,SOLUSDT,FILUSDT,-3.452512791148852,-0.2169165914732929,4,375.5997412454389,12.586010796557488,10.90619498302469,0.8742281181757549,8.346414940647488,2.2227008123685885,375.5997412454389
123,MKRUSDT,TOMOUSDT,-291.872801823516,594.6257864331442,7,206.6759642980362,59.10397032762136,14.918757935758922,17.818260763251363,13.744265109444033,11.464367475768256,206.6759642980362
119,MKRUSDT,SOLUSDT,-5.659835827919693,256.19003059571855,7,176.80417179402687,27.45887312087931,49.393112623679265,8.548771390651936,12.260238171470696,11.249160812263955,176.80417179402687
117,MKRUSDT,DOTUSDT,-38.574162667212526,138.38431633285182,6,170.0740338466188,11.980198633287335,18.18975384195275,14.98425835836467,16.815698834038155,8.457382233209504,170.0740338466188
129,MKRUSDT,BELUSDT,-103.36769985461422,1246.2447074134607,7,168.60854726596008,27.407304849001203,21.286304202047727,9.762459947813575,15.849774459665039,39.46631885386407,168.60854726596008
124,MKRUSDT,NEARUSDT,-161.85698514770584,90.91889431635423,5,163.14485816994548,170.930008788292,17.426087820526895,18.390365688733556,16.825590943190413,7.917054031185579,163.14485816994548
139,MKRUSDT,1000XECUSDT,-2103.747307775454,172.11014953298286,7,161.755537530658,12.531915993818771,24.21945471987738,15.91383202325077,16.522068077900137,11.822607024549514,161.755537530658
121,MKRUSDT,AVAXUSDT,-11.915465692681604,248.4266054127877,6,160.68114547707606,63.71542437448123,18.970711479384484,15.149917282948016,8.552344564909646,11.82869545282081,160.68114547707606
128,MKRUSDT,OCEANUSDT,-406.1361785176604,1154.8711931942044,6,160.54573465564363,22.350880136320637,-5909.433196315563,8.140889642926394,17.116351626735266,26.290973642575075,160.54573465564363
131,MKRUSDT,1INCHUSDT,-95.60965166992655,431.06246705907245,7,159.8593514013081,23.192506658995445,12.689008932767372,12.389100974723258,20.525958066374365,13.482995488631854,159.8593514013081
143,MKRUSDT,APEUSDT,-11.310740840850276,273.942234371729,7,158.175792078428,93.05040769036765,8.666113943139703,12.568745541870038,12.951607908408588,9.783250135107489,158.175792078428
126,MKRUSDT,FILUSDT,-2.1669772243478036,-36.17163586857373,7,154.65113734869738,13.325761964352763,8.652841533156215,15.3106745746249,8.228106962203066,7.531329565279901,154.65113734869738
136,MKRUSDT,1000SHIBUSDT,1398.5868505674214,-309.5231801303888,7,154.06077006823418,49.0805319929396,9.05727421089961,10.187649641307086,9.124554998524825,7.572424779096979,154.06077006823418
122,MKRUSDT,FTMUSDT,6.128818868309162,855.7784220056666,7,152.9050449254481,288.2431491886684,19.054365289232774,8.389699571340122,9.417877663045322,15.923386140026818,152.9050449254481
146,MKRUSDT,LDOUSDT,1.3003472959386944,168.21743378404028,7,152.69254076210942,101.54946738272614,15.523549434541572,17.130190652172786,9.327028060549301,8.452113237040138,152.69254076210942
134,MKRUSDT,LINAUSDT,-20756.572930379843,210.65594853293635,6,152.51929843293044,37.076700447263555,8.495528431415183,7.970451511367145,12.148887136055102,7.9665302127769975,152.51929843293044
137,MKRUSDT,MASKUSDT,-55.320772582415785,1385.6448536642058,5,152.27990910430572,-166.80738665145947,21.185145049717164,13.69829294255825,18.019717405333154,58.158975846230256,152.27990910430572
144,MKRUSDT,OPUSDT,-99.86227659540037,483.3429120563403,6,151.0667156929613,26.39912192439752,6.649509064441181,14.15782904521881,21.493162260772102,12.427334414539608,151.0667156929613
138,MKRUSDT,DYDXUSDT,-141.05286209832687,773.6733446382661,5,148.89279157378326,12.80161670340156,12.67641159569446,12.60312475499234,13.887622032340643,13.653983195372557,148.89279157378326
130,MKRUSDT,AXSUSDT,-16.04732707868701,251.97760447841392,6,146.42922129155164,15.834713520288254,20.016766873792594,11.447154981348731,21.377196730755042,5.451690725488354,146.42922129155164
145,MKRUSDT,INJUSDT,-9.171780144413693,360.74305609512777,6,144.3742633055531,62.90650698092618,11.24363478741283,10.665066612755432,12.54123424785762,15.179873542472247,144.3742633055531
140,MKRUSDT,GALAUSDT,-3344.731796624321,270.8485015429658,6,143.58768931038986,26.19375941043996,16.81350243380281,15.553602060060602,18.314353004896432,11.05780427635228,143.58768931038986
142,MKRUSDT,GMTUSDT,201.6857215589991,965.7027097026635,7,140.88587971266048,20.733194293733717,12.432318057746803,13.605805817725113,20.46348265996509,18.495347053404924,140.88587971266048
132,MKRUSDT,SANDUSDT,-142.60965311276024,-165.30078702272317,6,138.79618695910642,14.426958670887323,11.247669433310271,15.5924389508459,18.67087859096803,8.52374005627723,138.79618695910642
133,MKRUSDT,XEMUSDT,2868.2706646211577,681.5076056213255,7,131.05647804038412,12.690606636092507,5.903419643080811,11.76141326387069,20.222269172348653,11.191418543927929,131.05647804038412
141,MKRUSDT,CTSIUSDT,632.157854706028,560.3199385173932,7,126.16674902172932,49.800473995209614,11.615517680497137,12.723618243784628,15.53586158237664,9.830687047669715,126.16674902172932
120,MKRUSDT,STORJUSDT,264.37992793895774,95.10075075981808,6,124.57280060904367,10.766759607206353,9.221070116262798,13.60399023524757,8.055243604828846,10.543991680947475,124.57280060904367
118,MKRUSDT,CRVUSDT,213.11791563974353,13.883016688727594,6,104.08075526066025,60.658562311020454,17.662575011168183,13.753040674442124,10.94796290752445,8.02036720199359,104.08075526066025
127,MKRUSDT,MATICUSDT,349.624222465771,426.9821643586099,5,93.88432538296368,362.03458135724725,5.717731829749396,11.544508082904073,18.20923484951159,11.918744235233868,93.88432538296368
88,COMPUSDT,FILUSDT,12.767706953174617,139.56707676385096,2,88.74349056581048,9.35074093803854,254.4131367669275,7.598441833794621,14.871901889638762,0.0,88.74349056581048
86,COMPUSDT,FTMUSDT,145.9927341837318,2.6905284172037085,7,88.10713021363092,49.3407405654286,-181.49584968271995,9.270700880936554,23.707008150702165,0.0,88.10713021363092
100,COMPUSDT,APEUSDT,25.98411155849272,168.00983699343774,7,84.07545789626545,-533.6128267854663,0.0,3.4423238699008123,2.428931859767152,-62.83296273042782,84.07545789626545
147,MKRUSDT,APTUSDT,36.02703123300156,326.6141166110642,5,82.75483593590945,15.19890384489662,6.441363461710525,13.321102764878411,17.94636880216715,9.469633361448771,82.75483593590945
102,COMPUSDT,INJUSDT,8.950303891474597,141.3525687866914,10,81.54909159565037,69.59141648598714,117.77996974687657,7.506775679039077,56.27707595052637,-767.5616659567264,81.54909159565037
103,COMPUSDT,LDOUSDT,27.776776430305144,106.89716916209615,7,80.6007650082496,-234.1269317060476,-49.51134902691561,7.289975338575875,52.619625367260525,0.0,80.6007650082496
98,COMPUSDT,CTSIUSDT,592.229278462956,137.76981504512335,9,72.88016495608817,17.145053469913265,210.81614517601506,16.072160833881934,40.48897717884476,683.9015118180026,72.88016495608817
135,MKRUSDT,MTLUSDT,342.65826172413927,581.3482308961281,4,70.45543379619365,-1941.8463909600741,44.5252704448441,13.074399840067798,16.391299483337622,9.934280112121556,70.45543379619365
93,COMPUSDT,XEMUSDT,2691.0377291701493,78.5039938393904,8,68.03680120334599,7.636581425549717,44.82852139489813,8.79195906333387,22.83168164915321,0.0,68.03680120334599
166,FILUSDT,OCEANUSDT,-3.1562886556144383,3.505275348054717,4,67.9213639718127,5.953258271569686,13.881133951715679,15.002530366105223,5.215102957521061,7.937650042834625,67.9213639718127
91,COMPUSDT,1INCHUSDT,250.18868019055063,127.2995547421356,6,67.81450133228775,11.878922116453207,-28.912258158778506,5.436861562256573,21.534288129176918,117.8737282129582,67.81450133228775
40,LTCUSDT,FILUSDT,22.720515570046803,96.9939302503661,3,67.31787704006227,6.87059366355861,2.395542006618669,0.0,3.228673477155615,0.0,67.31787704006227
97,COMPUSDT,GALAUSDT,3753.9957152659745,120.8111075724006,7,65.42642061662727,10.873719267787097,-47.85916275455063,7.259671895548881,32.280049973024056,0.0,65.42642061662727
175,FILUSDT,1000XECUSDT,-27.401571084265264,1.2735816601982703,3,65.37518932687814,5.817170964032664,23.862600977391374,0.0,11.366600727275355,7.416536571628698,65.37518932687814
89,COMPUSDT,MATICUSDT,169.25957534936512,116.72500422147715,9,64.75049236957375,32.732514257320474,0.0,11.613481409728042,5.244046186347675,0.0,64.75049236957375
99,COMPUSDT,GMTUSDT,384.3580939144925,89.57568116040179,8,60.70141761778122,9.96447015633634,-52.01643136277677,7.610478533436923,20.61626528709698,0.0,60.70141761778122
104,COMPUSDT,APTUSDT,8.011814895336963,-33.18018406696501,4,56.33308927114528,10.948210550331188,47.219623774541795,1.4692857769427765,14.241498242637098,0.0,56.33308927114528
