,sym_1,sym_2,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_return_first_499intervals,current_z_score,total_score
180,DOGEUSDT,STORJUSDT,0.005808500853362813,0.014655394444543465,0.06263463647727611,3,191.7219313260376,-0.9285428241674883,191.7219313260376
19,BCHUSDT,DOGEUSDT,5.413254627788908e-06,-3684.372405474316,539.6435405372492,6,155.13686570595215,-1.3597875258909442,155.13686570595215
32,BCHUSDT,MATICUSDT,2.1160608362523444e-05,-243.12627359456624,455.1947375476531,9,151.51065570889702,-1.3082582077364528,151.51065570889702
45,BCHUSDT,INJUSDT,0.00018391553176038252,-17.478793181979515,439.2298415581977,8,147.6741609842669,-1.4227704391268248,147.6741609842669
46,BCHUSDT,LDOUSDT,3.959090427094321e-05,-61.91638121945436,421.2585075214131,8,146.23897376744415,-1.6330156327253376,146.23897376744415
37,BCHUSDT,SFPUSDT,9.982307421936643e-05,-435.25018322611055,495.33630632511426,7,143.17142714974773,-1.3546207345825811,143.17142714974773
31,BCHUSDT,FILUSDT,0.001386507626239876,-13.845532400145453,349.50548412497614,6,142.83512153682534,-1.3940672318388867,142.83512153682534
40,BCHUSDT,1000SHIBUSDT,5.715274028181394e-05,-40247.29913781922,597.4137234340349,7,142.3514167377797,-1.3398604424165728,142.3514167377797
16,BCHUSDT,ATOMUSDT,0.000209394124661883,-17.5571777473334,458.11849910538984,6,139.68453524603754,-1.280349660051744,139.68453524603754
12,BCHUSDT,TRXUSDT,5.7709182386941066e-05,-5539.009349359736,714.8646183407398,6,138.52086237711853,-1.1605374870981209,138.52086237711853
34,BCHUSDT,AXSUSDT,0.0003546967357287906,-21.334427984890205,422.10287230319364,7,136.55691332861204,-1.6603403679077742,136.55691332861204
39,BCHUSDT,NKNUSDT,1.634484491853536e-05,-1702.524644678913,460.6996695931864,6,135.32712903816872,-0.5788958220648858,135.32712903816872
17,BCHUSDT,ALGOUSDT,0.0007084570375075023,-1593.4657650706679,487.6569278361963,6,129.6564182710589,-1.6397530177600088,129.6564182710589
14,BCHUSDT,ADAUSDT,0.0003431474030172281,-699.6165915383315,493.63296474336977,5,129.00797457729576,-1.3591047365525917,129.00797457729576
35,BCHUSDT,GRTUSDT,0.003244853292099312,-352.91667587593366,331.46535925888895,5,127.47568025825875,-1.4761626722233703,127.47568025825875
44,BCHUSDT,GMTUSDT,2.4035879929397832e-05,-830.6388876736471,478.8490002929809,5,124.74377459169493,-1.1822083024024477,124.74377459169493
24,BCHUSDT,DOTUSDT,0.002497742347397164,-22.503620166739967,409.9902707179204,5,123.86260425888997,-1.678610548787279,123.86260425888997
28,BCHUSDT,FTMUSDT,0.0013469005572517066,-492.1057546924847,443.4100298832402,5,121.71898829683165,-1.4347074919035576,121.71898829683165
21,BCHUSDT,WAVESUSDT,0.0033949384868325713,91.88043113737346,113.25333861924581,5,118.5930726349723,-1.9420118120045387,118.5930726349723
42,BCHUSDT,GALAUSDT,0.004887452248338769,-5113.216266712072,418.3897389043617,5,118.24006458199432,-1.4791067692863333,118.24006458199432
