,sym_1,sym_2,min_trading_qty_symbol_1,min_trading_qty_symbol_2,estimated_trade_qty_symbol_1,estimated_trade_qty_symbol_2,estimated_trade_value_symbol_1,estimated_trade_value_symbol_2,std,each_z_score_revenue,p_value,hedge_ratio,initial_intercept,trading_oppotunities,estimated_returns,win_rate,recent_trade_qty,peak_loss,recent_z_score
0,ATOMUSDT,MATICUSDT,0.01,1.0,25.643308376775135,331.61422486971804,224.0712285962611,225.92877140373892,0.03485180062852275,0.8937154710030943,0.013726421338738958,12.93180349420348,-0.054612079371928024,7,14.468496318562542,1.0,25.639957819399736,-8.140884602967333,-1.680574557449373
1,APTUSDT,DOGEUSDT,0.1,1.0,44.47669033673312,1934.6578386054503,306.1775362780708,143.82246372192918,0.03291948226958666,1.4641496189499823,0.016011462188611644,43.49824197704801,3.6288866792766834,8,19.936159191624842,1.0,44.47343788321428,-7.614708493078684,1.5401819612100065
2,SANDUSDT,XLMUSDT,1.0,1.0,757.9573996432928,986.4830140093437,310.1561679340354,139.84383206596456,0.0015358564275965779,1.1641137440865392,0.0034330890810555324,1.3015019240838586,0.22429745647863758,7,30.96580399139127,1.0,757.6968960736792,-5.596983653911309,0.6396126313093979
4,LINAUSDT,HBARUSDT,1.0,1.0,25236.74077853841,2038.493090073321,340.6960005102685,109.30399948973147,0.00017075801760965334,4.309375826271919,0.01257247282596195,0.08077481589092031,0.009121671544681345,4,55.62552773450517,0.75,25224.879617150124,-28.971255404035738,1.0560022525748018
5,LINAUSDT,OPUSDT,1.0,0.1,22574.78502627855,85.88516477159219,304.75959785476044,145.22322511228523,0.0001289002451735362,2.909895324627179,0.000949204074032478,0.0038044732063501887,0.007096332802757874,8,89.72973065149924,1.0,22555.720873511666,-12.649170393206607,0.1676329975186058
6,LINAUSDT,MTLUSDT,1.0,1.0,25136.803292634177,75.3254973107138,339.3468444505614,110.64562299970751,0.00010303642337015516,2.590006306232165,0.002629739157483511,0.0029966219822703706,0.009001311915561621,6,63.18102286845833,1.0,25116.88706750451,-20.101446724300608,0.8689234371602368
7,BNBUSDT,DOGEUSDT,0.01,1.0,1.216692608167157,2106.74798251702,293.4540901638366,156.59457754049006,1.1819762027329084,1.4381017088946146,0.012222423569444715,1731.536764812482,112.18168487207568,7,31.876437152749343,1.0,1.2160791458002371,-6.352907577050193,0.011156006894148592
8,BNBUSDT,AVAXUSDT,0.01,1.0,0.9153012298602707,18.238403721059854,220.76150362999869,229.23849637000131,0.9800355121757834,0.8970277096012349,0.0009161298703065113,19.926121724805412,-8.464486172392563,5,17.38745038133555,0.8,0.9149299982337213,-6.965505245664517,-1.5024876732068588
9,GALAUSDT,MKRUSDT,1.0,0.001,12104.648336737357,0.12324093045113317,284.9434218467974,165.05657815320265,0.00016698486890951475,2.021293115705863,0.02241418479680101,1.0181289618889588e-05,0.009947052674597263,6,37.30989821810032,1.0,12107.964329603688,-24.50822028121317,0.5373784642685809
10,1000SHIBUSDT,LDOUSDT,1.0,1.0,35587.053603192835,83.42056002268734,294.0202368695792,155.9797631304208,5.592624819433171e-05,1.990250392317149,0.00766621096021388,0.002344126629668575,0.0038775262020764303,7,31.856658930621943,1.0,35552.69757490324,-8.738009090342484,0.0506654424868061
11,1000SHIBUSDT,APEUSDT,1.0,1.0,29983.834684753096,111.13931749152194,247.7264421654301,202.27355783456994,4.944397957724027e-05,1.4825201098002805,0.02944916043005447,0.0037066412171768257,0.0015757145762738732,6,15.821197027667807,1.0,29975.259671545395,-8.580972784596197,-1.913441671360856
12,FTMUSDT,AXSUSDT,1.0,1.0,738.8349324445805,46.838664339859335,175.10387898936557,274.9429596749743,0.003195043195006131,2.3606095231398716,5.221388939963994e-05,0.0633953029060015,-0.13652372479510835,8,24.495295609193203,1.0,738.6811598272501,-7.5852780781127755,1.9313027329058974
13,FTMUSDT,SOLUSDT,1.0,1.0,913.2997811082946,10.186145842521555,216.45204812266581,233.5479518773342,0.0033265447611561826,3.0381326022108857,0.014668287789267547,0.01115312414743011,-0.01937359899037666,5,3.9106912449426856,0.8,913.0724309340521,-37.648783612084756,0.280176103014657
15,AXSUSDT,SOLUSDT,1.0,1.0,45.731979173717264,7.920481731536502,268.44671774972034,181.5532822502797,0.028830495621646732,1.318475625337095,0.016963204760375352,0.17319350429706531,1.9117501883188595,6,23.293915811403657,1.0,45.713655091910034,-3.9156926558223404,-1.0559138125154288
23,MKRUSDT,LDOUSDT,0.001,1.0,0.19597360335247457,100.50594273257545,262.212681285611,187.87575875000329,31.00008852995458,6.075199053460916,0.001907925801373011,512.8544916929822,351.8594026813598,7,16.773372406432586,0.8571428571428571,0.19580895161483525,-59.23740861882012,1.691225312124428
27,MKRUSDT,STMXUSDT,0.001,1.0,0.25643913603181806,16575.206186516374,343.0899200969694,106.9100799030306,33.11342202634804,8.491577335493666,0.011951270039069624,64636.02413814006,908.8960447702514,7,26.450043815947417,0.8571428571428571,0.2563806951038646,-110.68258875252977,1.7260969184420716
33,XRPUSDT,DYDXUSDT,0.1,0.1,279.92400016107126,134.52123008307652,187.54908010791775,262.4509198920823,0.010040580503251507,2.8105994584094236,0.028268536643194096,0.48056340294391175,-0.26445200546143366,6,30.53657352919085,0.8333333333333334,279.6003012628199,-15.802650762592144,0.5057766757532107
34,DYDXUSDT,SOLUSDT,0.1,1.0,138.62301477332207,7.829859063156804,270.4535018227514,179.53866831818553,0.018716208107788103,2.5944971930264806,0.00822275604923171,0.05648311051350512,0.6638203761958341,5,6.157159593562551,0.6,138.51839186209887,-14.32416041698994,-0.9592413978432179
