,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
15,DYDXUSDT,LDOUSDT,0.15532860960160844,0.04830101773579485,0.006946132108023144,0,0.0,0.0,-50.02028402618971,-1.0640575203136362,1,46.81052602611999,1.0,-6.380200324151058
7,HBARUSDT,EOSUSDT,0.07313124061477337,0.0013633104978795292,0.00934631356454677,0,0.0,0.0,-1.4947462843209187,-1.8555607395174618,1,45.98202159238649,1.0,-16.691861586732113
16,DYDXUSDT,FILUSDT,0.06310706393184018,0.05225801700462309,0.005900629325318341,0,0.0,0.0,-51.0379094629155,-1.1698267854511857,1,28.557423951892204,1.0,-14.471226708489063
11,XRPUSDT,DOTUSDT,0.12310854644259828,0.033407152219200244,0.004409845409807801,0,0.0,0.0,-11.354854771027075,-0.9285193074148785,1,26.77940363010557,1.0,-9.173692288790855
18,DYDXUSDT,MATICUSDT,0.6300690167915832,0.04402855195704525,0.007583559114939991,0,0.0,0.0,-45.681499013269274,-0.8380586473486494,1,24.99580692358069,1.0,-14.686534103867121
17,DYDXUSDT,ETCUSDT,0.014970453842451492,0.052940166126515475,0.005116484222569415,0,0.0,0.0,-44.94606941815593,-1.3857544587316923,1,11.424934740056466,1.0,-24.15471119941538
24,DYDXUSDT,ADAUSDT,1.9093466553745433,0.04921425725792993,0.0055346573983073265,0,0.0,0.0,-45.5475723530068,-1.180530930979743,1,8.784279896359788,1.0,-15.192185217252087
10,1000SHIBUSDT,TOMOUSDT,0.0031129747389776977,0.0001805307326814295,0.02023963120789698,0,0.0,0.0,-50.28988984000715,0.01836945346858193,1,5.557951037322402,1.0,-6.298692836192696
3,CELOUSDT,LINAUSDT,33.99797987001803,0.01681286641509029,0.028623801697403813,0,0.0,0.0,-48.17442930024223,-1.7884010782827249,1,4.023718279764199,1.0,-133.20198444590784
28,TOMOUSDT,UNIUSDT,0.24406191823322285,0.0880154752733614,0.009053242189408488,0,0.0,0.0,-76.9631156601328,-0.8620675551569614,0,0.0,0.0,-77.63724375989379
27,ETCUSDT,ADAUSDT,55.86998684627338,0.2173451683809148,0.005349424691145291,1,2.9468806565003094,1.0,-1.4859197292474704,0.3643991558579207,0,0.0,0.0,-14.934897401356274
26,LDOUSDT,APEUSDT,0.4950430686465858,0.047419042259829444,0.002603172794018584,0,0.0,0.0,-12.305670411465329,-0.17928047379279155,0,0.0,0.0,-51.73443754259773
25,LDOUSDT,FILUSDT,0.429490693458764,0.0726838962136629,0.0009623300001602269,0,0.0,0.0,-0.049659990909584284,-0.9833565067825608,0,0.0,0.0,0.0
23,DYDXUSDT,MTLUSDT,0.1986791773236571,0.05062770900611006,0.005732927400942612,0,0.0,0.0,-59.08481700589587,-1.5451549510211944,0,0.0,0.0,-40.474503944575694
21,DYDXUSDT,INJUSDT,0.09432437628286636,0.04431910069891686,0.011366444908767521,1,-14.664778333076882,0.0,-91.48879276654063,-0.3016412506758576,0,0.0,0.0,0.0
19,DYDXUSDT,APEUSDT,0.12011731281971277,0.049206732683254865,0.007083452310258277,0,0.0,0.0,-50.61918705528386,-0.8090273554457327,0,0.0,0.0,-22.661710081753647
0,APTUSDT,INJUSDT,0.5484728880938328,0.13112025080247014,0.029490754490412566,1,-0.645718820371886,0.0,-1.9649571748310386,0.7616752187269266,0,0.0,0.0,-6.345325870170157
1,MASKUSDT,LDOUSDT,1.1746151713783268,0.08965709287710831,0.01332368701894817,1,-8.47089708166541,0.0,-16.554054727439475,-0.5621624864400866,0,0.0,0.0,0.0
14,DYDXUSDT,SUSHIUSDT,1.0535886867904767,0.04370693629354898,0.022296195506495267,1,1.7905467350609847,1.0,-80.6408542706099,-1.6182411342008771,0,0.0,0.0,-21.838979803562747
13,DYDXUSDT,OPUSDT,0.06510826545753964,0.05411105091111057,0.004322696084704969,0,0.0,0.0,-45.754655939611865,-1.6229229266440985,0,0.0,0.0,-36.160949989360006
12,DOTUSDT,AAVEUSDT,0.017520982034380586,0.08832709652949644,0.013233788726713396,0,0.0,0.0,-23.30515044926744,-0.2156101223125682,0,0.0,0.0,-30.10586892628733
9,ETHUSDT,AAVEUSDT,3.877554891190508,14.874149226066558,0.010298557201621072,0,0.0,0.0,-20.617741815664974,-1.0259996486066445,0,0.0,0.0,-34.64213882920071
8,SNXUSDT,DOTUSDT,1.6672474405807707,0.11132312728461083,0.007085188425114882,0,0.0,0.0,-9.024836990486012,-0.5362080460603089,0,0.0,0.0,-28.265443142300377
6,HBARUSDT,STMXUSDT,0.9566863649747075,0.0021480501177492547,0.00815953419750721,0,0.0,0.0,-55.80624729361956,-2.002027351024388,0,0.0,0.0,-22.998335107309114
5,CELOUSDT,UNIUSDT,0.04513438856871792,0.021447426289100853,0.0024959827083314793,0,0.0,0.0,-26.335759417985315,-2.6922103237138337,0,0.0,0.0,-169.8569888562111
4,CELOUSDT,BNBUSDT,0.005032468793803443,0.018207750639551854,0.0037781965688665,0,0.0,0.0,-45.510821108175236,-2.2031029939003393,0,0.0,0.0,-82.55725715395226
2,MASKUSDT,APEUSDT,0.8030942905680107,0.08698020353626076,0.0015806624085694073,0,0.0,0.0,-28.241261322159914,0.19218058627129322,0,0.0,0.0,-34.4813740889069
29,EOSUSDT,ADAUSDT,1.5342673775543858,0.012005023722667374,0.00020381365704761028,0,0.0,0.0,-9.891361166150478,-0.20897511313430528,0,0.0,0.0,-8.222319913449562
20,DYDXUSDT,SOLUSDT,0.005838898960406066,0.05278635181780079,0.0029312452963861533,0,0.0,0.0,-73.17648210887883,-1.241852457103458,1,-5.238171508614711,0.0,-16.838582554201547
22,DYDXUSDT,EOSUSDT,1.6599751123235924,0.037954802558864166,0.02362186527963554,1,-3.7815792860910924,0.0,-60.194533728606665,-1.0057591192464401,1,-6.688858634351019,0.0,-12.330629339008707
