,sym_1,sym_2,hedge_ratio,std,p_value,trade_oppotunities_performance,cumulative_returns_performance,win_rate_performance,peak_loss_performace,recent_z_score,examine_trade_oppotunities,examine_returns,examine_win_rate,examine_peak_loss
1,BNBUSDT,XLMUSDT,526.0012842339775,2.392839714652147,0.008673757357052014,0,0.0,0.0,-1.2705229863614538,1.9456675847851403,1,68.70270694820833,1.0,-0.2102670425898836
2,BNBUSDT,XRPUSDT,192.67582711722548,2.2559097491786746,0.002857690613018856,0,0.0,0.0,-0.7459738176925826,0.8272212048753916,1,60.956561270211196,1.0,-2.6375430775142688
6,COMPUSDT,SOLUSDT,4.212518691636424,0.9061988350154198,0.012413917198118192,1,24.51173873459036,1.0,-2.3334882211847976,-1.5516503371919765,1,24.80356181112012,1.0,-0.15491822340867706
0,LINKUSDT,INJUSDT,0.4994910257861752,0.033120397955834706,0.0072245701990257,1,0.28815803893927183,1.0,-14.213341993460944,0.12593628457182704,0,0.0,0.0,0.0
3,BNBUSDT,COTIUSDT,540.5550198161209,1.6000128666254871,0.014379095174511084,0,0.0,0.0,-4.499582244733863,-0.32253669255018824,0,0.0,0.0,-89.91664525947084
4,BNBUSDT,UNIUSDT,6.960357183603614,2.1719836303692777,0.01969082111624938,0,0.0,0.0,-17.116632798255235,0.8321774632900962,0,0.0,0.0,-2.7752704259426677
5,FTMUSDT,EOSUSDT,0.927173506812552,0.004683554039672655,0.026272460855177468,1,-2.2717027001186803,0.0,-3.61295231189964,1.7996768243940038,0,0.0,0.0,-8.810161378160934
7,LDOUSDT,EOSUSDT,6.4917584828648405,0.025575535724072784,0.0027360197369051165,1,3.2256836246460105,1.0,-5.3615395142284825,0.9109572153945358,0,0.0,0.0,-15.986678316411972
8,FILUSDT,EOSUSDT,5.029672268930177,0.010828974863470476,0.003912085990199454,1,6.194813278738012,1.0,-2.4044420867484444,1.8189968892652713,0,0.0,0.0,-63.48922107172118
9,MATICUSDT,EOSUSDT,1.4327435532365018,0.0030786692724183197,0.0023379077049584156,0,0.0,0.0,-8.47029877111238,2.091382670454452,0,0.0,0.0,-8.101621348729255
