,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
0,15m,200,20,20,1.2,-33.379113590566604,0.5,-33.379113590566604,0
1,15m,200,20,20,1.6,,,,0
2,15m,200,20,40,1.2,-24.244546420995857,0.0,-24.244546420995857,0
3,15m,200,20,40,1.6,-47.4823044206043,0.16666666666666666,-47.4823044206043,0
4,15m,200,20,80,1.2,5.533509866062296,0.3333333333333333,-9.884561046976234,1
5,15m,200,20,80,1.6,-25.857356664928947,0.0,-25.857356664928947,0
6,15m,200,20,120,1.2,-11.116401848532927,0.0,-11.116401848532927,0
7,15m,200,20,120,1.6,-7.192991213981664,0.0,-7.192991213981664,0
8,15m,200,40,20,1.2,-39.32766944696996,0.0,-39.32766944696996,0
9,15m,200,40,20,1.6,,,,0
10,15m,200,40,40,1.2,2.190678626977831,0.16666666666666666,-1.8787879242189334,1
11,15m,200,40,40,1.6,6.303683998649394,0.3333333333333333,-5.36158166083868,1
12,15m,200,40,80,1.2,-7.272892660116072,0.0,-10.909338990174108,0
13,15m,200,40,80,1.6,-0.9745978595070947,0.3333333333333333,-18.067311639912898,1
14,15m,200,40,120,1.2,-5.171680076467059,0.3333333333333333,-7.766785296535226,1
15,15m,200,40,120,1.6,-9.811867757705446,0.0,-29.43560327311634,0
16,15m,200,80,20,1.2,-8.63289909914306,0.0,-8.63289909914306,0
17,15m,200,80,20,1.6,,,,0
18,15m,200,80,40,1.2,-18.723695473609766,0.16666666666666666,-28.08554321041465,0
19,15m,200,80,40,1.6,-14.31723677741216,0.0,-42.95171033223648,0
20,15m,200,80,80,1.2,-38.54345813933783,0.0,-51.391277519117104,0
21,15m,200,80,80,1.6,-52.71003267822674,0.0,-105.42006535645348,0
22,15m,200,80,120,1.2,-4.011751340590327,0.0,-6.017627010885491,0
23,15m,200,80,120,1.6,0.0,0.0,,0
24,15m,200,120,20,1.2,-4.967607102177185,0.0,-4.967607102177185,0
25,15m,200,120,20,1.6,,,,0
26,15m,200,120,40,1.2,0.0,0.0,,0
27,15m,200,120,40,1.6,-3.5125749788153304,0.3333333333333333,-11.637073878862903,1
28,15m,200,120,80,1.2,2.6192868031013647,0.6666666666666666,,2
29,15m,200,120,80,1.6,0.0,0.0,,0
30,15m,200,120,120,1.2,0.0,0.0,,0
31,15m,200,120,120,1.6,0.0,0.0,,0
32,15m,400,20,20,1.2,,,,0
33,15m,400,20,20,1.6,,,,0
34,15m,400,20,40,1.2,0.6653429593720319,1.0,,1
35,15m,400,20,40,1.6,0.0,0.0,,0
36,15m,400,20,80,1.2,-10.297064761896937,0.0,-20.594129523793875,0
37,15m,400,20,80,1.6,-3.0427703308685707,0.0,-6.0855406617371415,0
38,15m,400,20,120,1.2,19.818155457649652,1.0,,1
39,15m,400,20,120,1.6,0.0,0.0,,0
40,15m,400,40,20,1.2,,,,0
41,15m,400,40,20,1.6,,,,0
42,15m,400,40,40,1.2,-3.139613652878672,0.0,-3.139613652878672,0
43,15m,400,40,40,1.6,-21.895255149266045,0.0,-21.895255149266045,0
44,15m,400,40,80,1.2,,,,0
45,15m,400,40,80,1.6,,,,0
46,15m,400,40,120,1.2,-7.7319938142992335,0.0,-7.7319938142992335,0
47,15m,400,40,120,1.6,3.832587076000209,1.0,,1
48,15m,400,80,20,1.2,,,,0
49,15m,400,80,20,1.6,,,,0
50,15m,400,80,40,1.2,3.2606718849185317,1.0,,1
51,15m,400,80,40,1.6,,,,0
52,15m,400,80,80,1.2,3.862257981779461,0.5,,1
53,15m,400,80,80,1.6,,,,0
54,15m,400,80,120,1.2,-2.6806362221822075,0.5,-19.302154245700187,1
55,15m,400,80,120,1.6,-4.508105834678227,0.0,-4.508105834678227,0
56,15m,400,120,20,1.2,,,,0
57,15m,400,120,20,1.6,,,,0
58,15m,400,120,40,1.2,,,,0
59,15m,400,120,40,1.6,,,,0
60,15m,400,120,80,1.2,-2.3002892275018683,0.3333333333333333,-12.375891219302265,1
61,15m,400,120,80,1.6,0.0,0.0,,0
62,15m,400,120,120,1.2,0.0,0.0,,0
63,15m,400,120,120,1.6,,,,0
64,15m,800,20,20,1.2,,,,0
65,15m,800,20,20,1.6,,,,0
66,15m,800,20,40,1.2,,,,0
67,15m,800,20,40,1.6,,,,0
68,15m,800,20,80,1.2,,,,0
69,15m,800,20,80,1.6,0.0,0.0,,0
70,15m,800,20,120,1.2,-1.4431490008212196,0.3333333333333333,-4.558806122264759,1
71,15m,800,20,120,1.6,-0.960541786335245,0.3333333333333333,-7.032930082081251,1
72,15m,800,40,20,1.2,,,,0
73,15m,800,40,20,1.6,,,,0
74,15m,800,40,40,1.2,,,,0
75,15m,800,40,40,1.6,,,,0
76,15m,800,40,80,1.2,-9.902262816945733,0.0,-9.902262816945733,0
77,15m,800,40,80,1.6,0.0,0.0,,0
78,15m,800,40,120,1.2,0.0,0.0,,0
79,15m,800,40,120,1.6,1.9162935380001045,0.5,,1
80,15m,800,80,20,1.2,,,,0
81,15m,800,80,20,1.6,,,,0
82,15m,800,80,40,1.2,,,,0
83,15m,800,80,40,1.6,,,,0
84,15m,800,80,80,1.2,,,,0
85,15m,800,80,80,1.6,-4.522230346807321,0.0,-4.522230346807321,0
86,15m,800,80,120,1.2,,,,0
87,15m,800,80,120,1.6,,,,0
88,15m,800,120,20,1.2,,,,0
89,15m,800,120,20,1.6,,,,0
90,15m,800,120,40,1.2,,,,0
91,15m,800,120,40,1.6,,,,0
92,15m,800,120,80,1.2,,,,0
93,15m,800,120,80,1.6,,,,0
94,15m,800,120,120,1.2,,,,0
95,15m,800,120,120,1.6,,,,0
