,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
593,15m,600,20,40,1.2,694.3293898,1,,2
12,15m,200,20,80,0.8,65.82578463,1,,1
20,15m,200,20,160,0.8,65.82578463,1,,1
10,15m,200,20,60,1.6,4.496060757,1,,2
736,15m,600,160,60,0.8,26.57572092,1,,1
16,15m,200,20,120,0.8,25.80563772,0.5,-14.21450918,1
761,15m,600,200,40,1.2,25.18289098,1,,1
17,15m,200,20,120,1.2,20.06837389,0.5,-16.50010221,1
491,15m,400,80,80,2,1.009049042,1,,1
567,15m,400,200,40,2,10.41435052,1,,1
539,15m,400,160,40,2,14.69466622,1,,1
653,15m,600,60,60,1.2,14.66052007,1,,1
483,15m,400,80,40,2,2.102146985,1,,1
38,15m,200,40,60,1.6,9.902785831,1,,1
677,15m,600,80,40,1.2,11.68074753,0.5,-4.941085125,1
442,15m,400,40,160,1.6,0.58731007,1,,1
402,15m,400,20,60,1.6,6.171233278,1,,1
41,15m,200,40,80,1.2,3.089517434,1,,2
566,15m,400,200,40,1.6,11.53336936,1,,1
244,15m,300,40,160,0.8,10.73643534,1,,1
240,15m,300,40,120,0.8,10.73643534,1,,1
241,15m,300,40,120,1.2,10.73643534,1,,1
538,15m,400,160,40,1.6,14.69466622,1,,1
36,15m,200,40,60,0.8,1.406164358,1,,1
482,15m,400,80,40,1.6,10.95122328,1,,1
765,15m,600,200,60,1.2,9.798792177,0.5,,1
60,15m,200,60,40,0.8,11.8141266,1,,1
681,15m,600,80,60,1.2,9.537279212,0.5,,1
426,15m,400,40,40,1.6,3.237335994,1,,1
64,15m,200,60,60,0.8,9.639990519,1,,1
664,15m,600,60,160,0.8,8.083293105,1,,1
213,15m,300,20,120,1.2,7.715984166,1,,1
72,15m,200,60,120,0.8,8.523978413,1,,1
540,15m,400,160,60,0.8,7.182458087,0.5,,1
268,15m,300,60,120,0.8,7.170679497,1,,1
417,15m,400,20,200,1.2,6.624639544,0.666666667,,1
61,15m,200,60,40,1.2,6.209822139,1,,1
398,15m,400,20,40,1.6,5.998066675,1,,1
565,15m,400,200,40,1.2,13.05709267,1,,1
612,15m,600,20,200,0.8,5.731966085,1,,1
597,15m,600,20,60,1.2,5.518018174,0.5,,1
679,15m,600,80,40,2,5.514979082,1,,1
92,15m,200,80,60,0.8,10.97540445,1,,1
488,15m,400,80,80,0.8,4.994800978,0.5,,1
649,15m,600,60,40,1.2,4.964363377,1,,1
93,15m,200,80,60,1.2,5.161937893,1,,1
88,15m,200,80,40,0.8,4.346911094,0.5,,1
669,15m,600,60,200,1.2,4.041646553,0.5,,1
89,15m,200,80,40,1.2,3.737696839,0.666666667,,2
613,15m,600,20,200,1.2,3.700359246,1,,1
221,15m,300,20,200,1.2,3.598758706,0.583333333,,2
592,15m,600,20,40,0.8,3.54712407,1,,1
381,15m,300,200,120,1.2,3.379917419,1,,1
537,15m,400,160,40,1.2,14.69466622,1,,1
458,15m,400,60,60,1.6,3.232290794,0.5,,1
125,15m,200,120,80,1.2,30.73213449,1,,1
564,15m,400,200,40,0.8,2.936351617,0.5,-7.936579495,1
13,15m,200,20,80,1.2,2.858860546,0.5,,1
396,15m,400,20,40,0.8,2.814557849,0.666666667,,1
382,15m,300,200,120,1.6,2.79286996,1,,1
214,15m,300,20,120,1.6,2.571994722,0.333333333,,1
425,15m,400,40,40,1.2,9.876472859,1,,1
220,15m,300,20,200,0.8,2.097211301,0.333333333,,2
614,15m,600,20,200,1.6,1.45689245,0.333333333,,1
177,15m,200,200,60,1.2,7.514291353,1,,1
430,15m,400,40,60,1.6,1.321128218,0.5,,1
660,15m,600,60,120,0.8,1.056984414,0.5,,1
536,15m,400,160,40,0.8,11.22918082,1,,2
245,15m,300,40,160,1.2,0.942196754,0.333333333,-7.909845078,1
628,15m,600,40,80,0.8,0.924233638,0.5,-4.986854746,1
397,15m,400,20,40,1.2,0.724918484,0.666666667,,1
424,15m,400,40,40,0.8,8.863971233,1,,1
4,15m,200,20,40,0.8,0,0,,0
7,15m,200,20,40,2,0,0,,0
14,15m,200,20,80,1.6,0,0,,0
15,15m,200,20,80,2,0,0,,0
18,15m,200,20,120,1.6,0,0,,0
19,15m,200,20,120,2,0,0,,0
23,15m,200,20,160,2,0,0,,0
26,15m,200,20,200,1.6,0,0,,0
27,15m,200,20,200,2,0,0,,0
34,15m,200,40,40,1.6,0,0,,0
35,15m,200,40,40,2,0,0,,0
42,15m,200,40,80,1.6,0,0,,0
43,15m,200,40,80,2,0,0,,0
46,15m,200,40,120,1.6,0,0,,0
47,15m,200,40,120,2,0,0,,0
50,15m,200,40,160,1.6,0,0,,0
51,15m,200,40,160,2,0,0,,0
54,15m,200,40,200,1.6,0,0,,0
55,15m,200,40,200,2,0,0,,0
63,15m,200,60,40,2,0,0,,0
65,15m,200,60,60,1.2,0,0,,0
66,15m,200,60,60,1.6,0,0,,0
67,15m,200,60,60,2,0,0,,0
69,15m,200,60,80,1.2,0,0,,0
71,15m,200,60,80,2,0,0,,0
73,15m,200,60,120,1.2,0,0,,0
74,15m,200,60,120,1.6,0,0,,0
75,15m,200,60,120,2,0,0,,0
77,15m,200,60,160,1.2,0,0,,0
90,15m,200,80,40,1.6,0,0,,0
96,15m,200,80,80,0.8,0,0,,0
97,15m,200,80,80,1.2,0,0,,0
98,15m,200,80,80,1.6,0,0,,0
99,15m,200,80,80,2,0,0,,0
100,15m,200,80,120,0.8,0,0,,0
117,15m,200,120,40,1.2,0,0,,0
118,15m,200,120,40,1.6,0,0,,0
119,15m,200,120,40,2,0,0,,0
122,15m,200,120,60,1.6,0,0,,0
126,15m,200,120,80,1.6,0,0,,0
132,15m,200,120,160,0.8,0,0,,0
144,15m,200,160,40,0.8,0,0,,0
145,15m,200,160,40,1.2,0,0,,0
146,15m,200,160,40,1.6,0,0,,0
147,15m,200,160,40,2,0,0,,0
152,15m,200,160,80,0.8,0,0,,0
156,15m,200,160,120,0.8,0,0,,0
157,15m,200,160,120,1.2,0,0,,0
178,15m,200,200,60,1.6,0,0,,0
206,15m,300,20,60,1.6,0,0,,0
210,15m,300,20,80,1.6,0,0,,0
219,15m,300,20,160,2,0,0,,0
242,15m,300,40,120,1.6,0,0,,0
243,15m,300,40,120,2,0,0,,0
246,15m,300,40,160,1.6,0,0,,0
247,15m,300,40,160,2,0,0,,0
251,15m,300,40,200,2,0,0,,0
262,15m,300,60,60,1.6,0,0,,0
266,15m,300,60,80,1.6,0,0,,0
267,15m,300,60,80,2,0,0,,0
269,15m,300,60,120,1.2,0,0,,0
270,15m,300,60,120,1.6,0,0,,0
271,15m,300,60,120,2,0,0,,0
290,15m,300,80,60,1.6,0,0,,0
291,15m,300,80,60,2,0,0,,0
292,15m,300,80,80,0.8,0,0,,0
293,15m,300,80,80,1.2,0,0,,0
294,15m,300,80,80,1.6,0,0,,0
295,15m,300,80,80,2,0,0,,0
296,15m,300,80,120,0.8,0,0,,0
297,15m,300,80,120,1.2,0,0,,0
301,15m,300,80,160,1.2,0,0,,0
304,15m,300,80,200,0.8,0,0,,0
307,15m,300,80,200,2,0,0,,0
318,15m,300,120,60,1.6,0,0,,0
319,15m,300,120,60,2,0,0,,0
324,15m,300,120,120,0.8,0,0,,0
325,15m,300,120,120,1.2,0,0,,0
326,15m,300,120,120,1.6,0,0,,0
327,15m,300,120,120,2,0,0,,0
328,15m,300,120,160,0.8,0,0,,0
329,15m,300,120,160,1.2,0,0,,0
332,15m,300,120,200,0.8,0,0,,0
333,15m,300,120,200,1.2,0,0,,0
334,15m,300,120,200,1.6,0,0,,0
346,15m,300,160,60,1.6,0,0,,0
348,15m,300,160,80,0.8,0,0,,0
349,15m,300,160,80,1.2,0,0,,0
350,15m,300,160,80,1.6,0,0,,0
352,15m,300,160,120,0.8,0,0,,0
353,15m,300,160,120,1.2,0,0,,0
360,15m,300,160,200,0.8,0,0,,0
374,15m,300,200,60,1.6,0,0,,0
375,15m,300,200,60,2,0,0,,0
376,15m,300,200,80,0.8,0,0,,0
377,15m,300,200,80,1.2,0,0,,0
378,15m,300,200,80,1.6,0,0,,0
379,15m,300,200,80,2,0,0,,0
388,15m,300,200,200,0.8,0,0,,0
389,15m,300,200,200,1.2,0,0,,0
390,15m,300,200,200,1.6,0,0,,0
410,15m,400,20,120,1.6,0,0,,0
414,15m,400,20,160,1.6,0,0,,0
428,15m,400,40,60,0.8,0,0,,0
429,15m,400,40,60,1.2,0,0,,0
431,15m,400,40,60,2,0,0,,0
438,15m,400,40,120,1.6,0,0,,0
456,15m,400,60,60,0.8,0,0,,0
457,15m,400,60,60,1.2,0,0,,0
459,15m,400,60,60,2,0,0,,0
465,15m,400,60,120,1.2,0,0,,0
466,15m,400,60,120,1.6,0,0,,0
470,15m,400,60,160,1.6,0,0,,0
485,15m,400,80,60,1.2,0,0,,0
486,15m,400,80,60,1.6,0,0,,0
494,15m,400,80,120,1.6,0,0,,0
