,interval,trainning_period,spread_window,z_score_window,z_score_threshod,test_average_returns,test_win_rate,test_ave_loss,tradeable_num
0,30m,200,20,20,1.2,,,,0
1,30m,200,20,20,1.6,,,,0
2,30m,200,20,40,1.2,-0.8333956329283172,0.0,-0.8333956329283172,0
3,30m,200,20,40,1.6,,,,0
4,30m,200,20,80,1.2,-31.153927675303596,0.25,-62.633514787433434,1
5,30m,200,20,80,1.6,-6.874003272883892,0.25,-23.819543187495057,1
6,30m,200,20,120,1.2,-5.135555051576148,0.2222222222222222,-5.135555051576148,0
7,30m,200,20,120,1.6,-7.082246578841826,0.3333333333333333,-64.27188857713645,1
8,30m,200,40,20,1.2,-2.816400435200684,0.0,-2.816400435200684,0
9,30m,200,40,20,1.6,-29.088367782593526,0.0,-29.088367782593526,0
10,30m,200,40,40,1.2,-16.083222661287962,0.3333333333333333,-26.79951151277662,1
11,30m,200,40,40,1.6,-10.645722503338497,0.0,-10.645722503338497,0
12,30m,200,40,80,1.2,5.072933320176116,0.6666666666666666,,2
13,30m,200,40,80,1.6,-4.345668143215666,0.3333333333333333,-22.131739449990565,1
14,30m,200,40,120,1.2,-6.226678159383458,0.0,-6.226678159383458,0
15,30m,200,40,120,1.6,-2.007652770524551,0.0,-6.022958311573653,0
16,30m,200,80,20,1.2,-19.6984172919672,0.0,-19.6984172919672,0
17,30m,200,80,20,1.6,-48.51017457796978,0.0,-48.51017457796978,0
18,30m,200,80,40,1.2,0.7663817402917363,0.3333333333333333,-8.7563861066815,1
19,30m,200,80,40,1.6,,,,0
20,30m,200,80,80,1.2,0.0,0.0,,0
21,30m,200,80,80,1.6,0.0,0.0,,0
22,30m,200,80,120,1.2,-2.4712024050796537,0.0,-7.413607215238962,0
23,30m,200,80,120,1.6,0.0,0.0,,0
24,30m,200,120,20,1.2,-17.828278032570903,0.0,-17.828278032570903,0
25,30m,200,120,20,1.6,,,,0
26,30m,200,120,40,1.2,6.784856752443469,1.0,,1
27,30m,200,120,40,1.6,4.906604895175447,1.0,,1
28,30m,200,120,80,1.2,-7.753272120123712,0.0,-11.629908180185568,0
29,30m,200,120,80,1.6,-0.9704118199031152,0.0,-2.9112354597093457,0
30,30m,200,120,120,1.2,2.873327990447981,0.3333333333333333,,1
31,30m,200,120,120,1.6,2.873327990447981,0.3333333333333333,,1
32,30m,400,20,20,1.2,,,,0
33,30m,400,20,20,1.6,,,,0
34,30m,400,20,40,1.2,-3.877873805581088,0.6666666666666666,-3.877873805581088,0
35,30m,400,20,40,1.6,,,,0
36,30m,400,20,80,1.2,-0.36574713541829773,0.0,-0.5486207031274466,0
37,30m,400,20,80,1.6,-1.3098798588748177,0.0,-3.929639576624453,0
38,30m,400,20,120,1.2,-6.941851416648678,0.3333333333333333,-39.48180075124732,1
39,30m,400,20,120,1.6,5.482616683157448,0.3333333333333333,-0.06248347754116412,1
40,30m,400,40,20,1.2,,,,0
41,30m,400,40,20,1.6,,,,0
42,30m,400,40,40,1.2,,,,0
43,30m,400,40,40,1.6,,,,0
44,30m,400,40,80,1.2,-2.7945381958064295,0.16666666666666666,-4.793975109522467,1
45,30m,400,40,80,1.6,-16.768790117644027,0.0,-25.15318517646604,0
46,30m,400,40,120,1.2,4.4689472687769705,0.5,,1
47,30m,400,40,120,1.6,1.9712183209427074,0.3333333333333333,,1
48,30m,400,80,20,1.2,,,,0
49,30m,400,80,20,1.6,,,,0
50,30m,400,80,40,1.2,0.0,0.0,,0
51,30m,400,80,40,1.6,,,,0
52,30m,400,80,80,1.2,0.0,0.0,,0
53,30m,400,80,80,1.6,-0.5205399029271311,0.0,-2.0821596117085246,0
54,30m,400,80,120,1.2,-4.345860694151799,0.0,-4.345860694151799,0
55,30m,400,80,120,1.6,0.0,0.0,,0
56,30m,400,120,20,1.2,,,,0
57,30m,400,120,20,1.6,,,,0
58,30m,400,120,40,1.2,-14.650238798082782,0.0,-14.650238798082782,0
59,30m,400,120,40,1.6,,,,0
60,30m,400,120,80,1.2,7.166131174107177,1.0,,1
61,30m,400,120,80,1.6,1.3206259511151794,1.0,,1
62,30m,400,120,120,1.2,0.0,0.0,,0
63,30m,400,120,120,1.6,0.0,0.0,,0
64,30m,800,20,20,1.2,,,,0
65,30m,800,20,20,1.6,,,,0
66,30m,800,20,40,1.2,,,,0
67,30m,800,20,40,1.6,,,,0
68,30m,800,20,80,1.2,-2.1434769754636775,0.0,-2.1434769754636775,0
69,30m,800,20,80,1.6,-3.8255684201213516,0.5,-3.8255684201213516,0
70,30m,800,20,120,1.2,-5.1560408146645,0.5555555555555555,-8.059720654127805,1
71,30m,800,20,120,1.6,-53.02295979991492,0.5,-79.86009913200344,1
72,30m,800,40,20,1.2,,,,0
73,30m,800,40,20,1.6,,,,0
74,30m,800,40,40,1.2,,,,0
75,30m,800,40,40,1.6,,,,0
76,30m,800,40,80,1.2,1.305605888947876,1.0,,1
77,30m,800,40,80,1.6,-5.844350769472851,0.0,-17.533052308418554,0
78,30m,800,40,120,1.2,-14.743364009343786,0.5,-52.44850067971899,1
79,30m,800,40,120,1.6,-17.48283355990633,0.16666666666666666,-52.44850067971899,0
80,30m,800,80,20,1.2,,,,0
81,30m,800,80,20,1.6,,,,0
82,30m,800,80,40,1.2,,,,0
83,30m,800,80,40,1.6,,,,0
84,30m,800,80,80,1.2,9.291258986594213,0.5,,1
85,30m,800,80,80,1.6,5.425793513553269,0.3333333333333333,-0.08961848792662508,1
86,30m,800,80,120,1.2,0.0,0.0,,0
87,30m,800,80,120,1.6,0.0,0.0,,0
88,30m,800,120,20,1.2,,,,0
89,30m,800,120,20,1.6,,,,0
90,30m,800,120,40,1.2,,,,0
91,30m,800,120,40,1.6,,,,0
92,30m,800,120,80,1.2,-0.9704118199031152,0.0,-2.9112354597093457,0
93,30m,800,120,80,1.6,0.008586557841203879,0.3333333333333333,,1
94,30m,800,120,120,1.2,0.0,0.0,,0
95,30m,800,120,120,1.6,0.0,0.0,,0
